Sigla;Código;Município;1970;1980;1991;2000;2010;
MG;3120706;Cruzeiro da Fortaleza;53,6;62,24;70,523;73,259;74,94;
MG;3120805;Cruzília;50,88;59,19;66,275;70,778;76,17;
MG;3120839;Cuparaque;;;67,075;72,941;72,85;
MG;3120870;Curral de Dentro;;;54,635;59,271;70,51;
MG;3120904;Curvelo;50,14;58,84;66,5;70,423;76,05;
MG;3121001;Datas;43,66;56,25;65,089;66,234;70,36;
MG;3121100;Delfim Moreira;46,44;57,77;66,424;67,823;75,2;
MG;3121209;Delfinópolis;50,4;58,92;67,209;72,037;77,31;
MG;3121258;Delta;;;68,119;71,282;73,46;
MG;3121308;Descoberto;54,53;59,03;67,239;73,316;72,85;
MG;3121407;Desterro de Entre Rios;51,28;61,09;66,318;70,796;73,14;
MG;3121506;Desterro do Melo;46,62;56,59;66,356;70,932;73,53;
MG;3121605;Diamantina;48,68;56,25;66,168;68,698;75,33;
MG;3121704;Diogo de Vasconcelos;53,59;56,47;64,225;67,917;73,63;
MG;3121803;Dionísio;49,41;57,76;60,018;64,38;74,24;
MG;3121902;Divinésia;52,71;55,5;63,96;70,519;72,11;
MG;3122009;Divino;50,52;57,84;62,668;68,401;74,36;
MG;3122108;Divino das Laranjeiras;46,4;57,09;64,803;67,891;73,64;
MG;3122207;Divinolândia de Minas;43,19;53,87;64,22;70,527;73,72;
MG;3122306;Divinópolis;50,39;59,37;70,869;75,539;75,63;
MG;3122355;Divisa Alegre;;;59,671;65,914;68,39;
MG;3122405;Divisa Nova;47,44;59,45;67,588;70,233;73,03;
MG;3122454;Divisópolis;;;58,545;60,671;73,1;
MG;3122470;Dom Bosco;;;66,834;72,806;73,88;
MG;3122504;Dom Cavati;46,37;53,9;66,221;70,073;72,03;
MG;3122603;Dom Joaquim;48,03;55,9;61,033;64,041;74,12;
MG;3122702;Dom Silvério;49,65;57,32;60,699;66,347;75,8;
MG;3122801;Dom Viçoso;51,47;56,24;65,245;69,771;74,12;
MG;3122900;Dona Eusébia;51,54;57,01;63,902;70,545;75,45;
MG;3123007;Dores de Campos;45,05;55,7;64,561;72,912;74,4;
MG;3123106;Dores de Guanhães;47,91;54,16;64,596;66,756;74,26;
MG;3123205;Dores do Indaiá;54,24;58,95;67,633;69,924;75,4;
MG;3123304;Dores do Turvo;55,1;57,2;66,389;71,169;74,75;
MG;3123403;Doresópolis;49,07;59,36;68,604;72,325;77,11;
MG;3123502;Douradoquara;57,81;61,49;68,665;73,259;75,84;
MG;3123528;Durandé;;;57,71;65,032;75,54;
MG;3123601;Elói Mendes;53,29;58,03;68,032;72,748;75,26;
MG;3123700;Engenheiro Caldas;46,86;54,62;64,044;65,572;73,91;
MG;3123809;Engenheiro Navarro;49,04;56,71;66,288;71,531;72,44;
MG;3123858;Entre Folhas;;;66,677;71,193;72,5;
MG;3123908;Entre Rios de Minas;52,69;59,35;67,38;70,637;73,14;
MG;3124005;Ervália;49,09;55,11;64,699;68,461;74,7;
MG;3124104;Esmeraldas;53,67;58,33;65,638;70,998;74,31;
MG;3124203;Espera Feliz;48,68;58,88;63,492;68,401;75,77;
MG;3124302;Espinosa;54,11;57,89;63,95;66,868;73,26;
MG;3124401;Espírito Santo do Dourado;54,22;55,32;68,104;71,55;75,81;
MG;3124500;Estiva;54,09;62,44;69,625;71,55;75,9;
MG;3124609;Estrela Dalva;54,83;60,34;62,535;69,116;77,04;
MG;3124708;Estrela do Indaiá;53,95;62,17;61,786;69,924;77,49;
MG;3124807;Estrela do Sul;52,66;60,99;68,665;72,916;75,4;
MG;3124906;Eugenópolis;51,64;57,07;66,389;70,734;75,77;
MG;3125002;Ewbank da Câmara;50,06;56,52;62,031;66,089;74,37;
MG;3125101;Extrema;57,43;61,91;66,997;69,635;75,95;
MG;3125200;Fama;51,84;62,43;67,588;73,964;76,77;
MG;3125309;Faria Lemos;50,55;56,95;65,994;68,401;73;
MG;3125408;Felício dos Santos;42,12;56,25;65,757;66,699;72,61;
MG;3125507;São Gonçalo do Rio Preto;49,14;56,25;56,258;59,406;73,91;
MG;3125606;Felisburgo;51,65;53,89;63,977;67,293;69,66;
MG;3125705;Felixlândia;53,36;58,75;65,379;70,423;73,9;
MG;3125804;Fernandes Tourinho;46,38;55,46;63,143;66,718;73,43;
MG;3125903;Ferros;54,29;58,24;66,348;69,518;74,24;
MG;3125952;Fervedouro;;;65,994;70,734;72,73;
MG;3126000;Florestal;52,64;55,39;68,912;74,76;75,69;
MG;3126109;Formiga;49,39;59,52;66,18;74,484;77,43;
MG;3126208;Formoso;48,71;58;64,546;67,957;75,04;
MG;3126307;Fortaleza de Minas;49,46;61,18;69,058;74,042;73,31;
MG;3126406;Fortuna de Minas;51,23;54,01;62,488;65,907;75,7;
MG;3126505;Francisco Badaró;51,33;54,24;64,953;68,718;72,57;
MG;3126604;Francisco Dumont;53,98;58,57;60,268;64,65;72,8;
MG;3126703;Francisco Sá;52,65;55,18;64,098;68,951;73,48;
MG;3126752;Franciscópolis;;;58,793;64,8;73,14;
MG;3126802;Frei Gaspar;48,58;53,06;62,464;64,8;72,96;
MG;3126901;Frei Inocêncio;49,61;55,46;60,545;67,891;71,72;
MG;3126950;Frei Lagonegro;;;60,208;62,679;69,96;
MG;3127008;Fronteira;58,01;59,74;70,021;73,933;77,28;
MG;3127057;Fronteira dos Vales;49,56;54,42;61,788;66,706;73,8;
MG;3127073;Fruta de Leite;;;62,995;67,044;72,5;
MG;3127107;Frutal;53,22;63,91;70,211;74,798;76,92;
MG;3127206;Funilândia;48,43;58,33;62,488;65,616;75,66;
MG;3127305;Galiléia;48,36;56,16;60,545;67,891;72,71;
MG;3127339;Gameleiras;;;56,792;59,515;72,74;
MG;3127354;Glaucilândia;;;64,098;68,951;73,72;
MG;3127370;Goiabeira;;;60,534;66,289;72,91;
MG;3127388;Goianá;;;62,414;68,373;75,1;
MG;3127404;Gonçalves;45,09;55,1;66,145;73,834;74,96;
MG;3127503;Gonzaga;45,72;55,43;59,567;66,756;71,44;
MG;3127602;Gouveia;52,49;56,25;66,168;70,84;74,98;
MG;3127701;Governador Valadares;46,66;55,95;67,034;68,19;75,06;
MG;3127800;Grão Mogol;49,54;56,56;67,97;69,84;72,44;
MG;3127909;Grupiara;49,7;62,39;68,665;72,916;75,64;
MG;3128006;Guanhães;48,29;55,43;61,938;67,891;74,22;
MG;3128105;Guapé;51,73;61,8;68,032;72,253;74,86;
